Pick Date,Location,Product Variety,Yield Kg,Total Harvest Cost Per Kg,Pick Rate Kgs/Hr (Picker Only – Derived Kgs)
31/12/2018,[Feath]01,Ochlockonee,"2,469.66",2.97,9.75
31/12/2018,[NineMile]13,Legacy,923.81,6.07,6.27
31/12/2018,[NineMile]33,Legacy,683.01,7.44,6.18
31/12/2018,[NineMile]62,Legacy,660.65,6.95,3.76
31/12/2018,[NineMile]67,Legacy,624.50,6.94,4.00
31/12/2018,[S1]09Mid,Brightwell,576.09,5.24,5.65
31/12/2018,[S1]09Mid,Powderblue,232.46,4.69,4.23
31/12/2018,[S1]22-23Ext,Ochlockonee,285.89,4.71,6.35
31/12/2018,[S1]22-23Ext,Powderblue,144.80,4.89,5.04
31/12/2018,[S1]28-30,Brightwell,"1,329.70",4.62,6.34
31/12/2018,[S1]42-43Front,Brightwell,864.04,4.37,6.82
31/12/2018,[S1]42-43Front,Powderblue,744.86,3.73,7.41
31/12/2018,[S1]50-51,Brightwell,286.04,5.05,4.06
31/12/2018,[S1]50-51,Powderblue,465.55,5.18,4.82
31/12/2018,[S1]50-51,Premier,32.48,6.27,3.94
31/12/2018,[S1]79,Brightwell,509.46,4.21,5.79
31/12/2018,[S1]79,Powderblue,568.93,4.58,6.50
31/12/2018,[S1]80,Brightwell,391.75,5.63,5.21
31/12/2018,[S1]80,Powderblue,444.85,5.72,4.36
31/12/2018,[S2]81,Brightwell,551.57,5.32,5.57
31/12/2018,[S2]81,Powderblue,594.39,3.63,6.68
31/12/2018,[S3]VTop,Brightwell,329.29,5.25,6.10
31/12/2018,[S4]A,Brightwell,"1,151.05",3.53,7.86
31/12/2018,[S4]K,Ochlockonee,429.86,3.22,6.25
31/12/2018,14,Arana C00-009,"2,013.02",3.32,9.40
1/01/2019,[NineMile]12,Legacy,"1,527.51",4.97,4.63
1/01/2019,[NineMile]13,Legacy,347.67,4.89,5.27
1/01/2019,[NineMile]66,Legacy,"1,399.64",6.79,3.59
2/01/2019,[Lebrina]04,Brigitta,311.77,8.65,7.42
2/01/2019,[NineMile]02,Legacy,"2,096.27",5.83,5.66
2/01/2019,[S1]06C,Brightwell,172.29,6.77,4.23
2/01/2019,[S1]06C,Powderblue,474.89,6.53,5.16
2/01/2019,[S1]06D,Brightwell,58.00,6.68,2.90
2/01/2019,[S1]06D,Powderblue,111.40,6.70,2.79
2/01/2019,[S1]06D,Selections - R/E,11.01,12.24,0.55
2/01/2019,[S1]06EFG,Brightwell,"1,170.94",4.25,6.96
2/01/2019,[S1]06EFG,Powderblue,810.13,3.96,6.97
2/01/2019,[S1]09-10Ext,Brightwell,758.35,4.05,6.71
2/01/2019,[S1]09-10Ext,Powderblue,352.78,4.20,6.14
2/01/2019,[S1]45-46Back,Brightwell,434.54,4.78,5.45
2/01/2019,[S1]45-46Back,Powderblue,372.20,3.02,9.30
2/01/2019,[S1]45-46Back,Tifblue,872.96,5.59,4.82
2/01/2019,[S1]45-46Mid,Powderblue,658.49,3.78,7.26
2/01/2019,[S1]45-46Mid,Tifblue,"1,195.85",5.74,4.68
2/01/2019,[S3]I,Ochlockonee,"1,426.28",3.47,8.44
2/01/2019,[S3]I,Powderblue,850.23,3.54,7.28
2/01/2019,[S3]L,Ochlockonee,491.31,4.38,7.42
2/01/2019,[S3]L,Powderblue,381.43,4.24,5.53
2/01/2019,[S3]R,Brightwell,"1,517.31",3.44,8.02
2/01/2019,[S3]R,Powderblue,"2,225.64",3.33,8.36
2/01/2019,[S3]VBot,Brightwell,305.66,4.82,5.29
2/01/2019,[S3]VBot,Powderblue,278.28,4.82,5.48
2/01/2019,[Tols]01,Arana C00-009,360.31,3.88,7.83
2/01/2019,[Tols]02,Arana C00-009,474.81,3.80,6.59
2/01/2019,[Tols]03,Arana C00-009,796.28,3.76,6.41
2/01/2019,[Tols]04,Arana C00-009,339.28,3.76,7.07
2/01/2019,LEB 5,Brigitta,56.35,14.95,0.60
2/01/2019,T05(row 1-24),Arana C00-009,745.06,2.50,8.51
2/01/2019,T05(row 25-34),Arana C00-009,251.37,2.04,13.41
2/01/2019,T06,Arana C00-009,870.32,3.38,8.71
2/01/2019,T07 (row 1-35),Arana C00-009,875.05,3.57,8.41
2/01/2019,T07(row 36-39),Arana C00-009,63.52,4.16,3.97
3/01/2019,[KD]Curleys,Ochlockonee,551.19,4.49,6.41
3/01/2019,[KD]LowSnow,Brightwell,325.84,4.80,5.07
3/01/2019,[NineMile]01,Legacy,"2,169.97",5.31,5.70
3/01/2019,[NineMile]02,Legacy,239.54,5.77,3.89
3/01/2019,[NineMile]11,Legacy,"1,039.42",5.57,5.43
3/01/2019,[NineMile]12,Legacy,797.42,5.74,4.42
